what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws,1.1.2.v200809081517,org.eclipse.wst.ws,1412076237101
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1412076237229
started,bundle,org.eclipse.compare,3.4.0.I20080604,org.eclipse.compare,1412076237465
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412076241229
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412076289928
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1412076289944
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1412076289944
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412076292734
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412076316289
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1412076316310
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1412076316310
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412076320874
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1412076331983
started,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.200.v200805140020,org.eclipse.jst.j2ee.jca.ui,1412076331985
started,bundle,org.eclipse.wst.common.environment,1.0.202.v200807161459,org.eclipse.wst.common.environment,1412076331989
started,bundle,org.eclipse.jst.j2ee.jca,1.1.202.v200809102205,org.eclipse.jst.j2ee.jca,1412076332037
started,bundle,org.eclipse.jst.j2ee.web,1.1.201.v200807290757,org.eclipse.jst.j2ee.web,1412076332070
started,bundle,org.eclipse.wst.server.core,1.1.1.v20080730,org.eclipse.wst.server.core,1412076332102
started,bundle,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui,1412076332135
started,bundle,org.eclipse.jst.common.frameworks,1.1.200.v200805140020,org.eclipse.jst.common.frameworks,1412076332167
started,bundle,org.eclipse.wst.web,1.1.204.v200809132300,org.eclipse.wst.web,1412076332203
started,bundle,org.eclipse.wst.web.ui,1.1.200.v200805281530,org.eclipse.wst.web.ui,1412076332265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1412076339541
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1412076339564
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.import,1412076339564
